k	Q1	Q2	Q3	Q4	apk	dk	alphak	tauk	deltak	gammak	
8.7000e+01	-3.5003e-10	-1.8149e-09	-9.1271e-05	2.1381e-04	5.0000e-01	8.6000e+01	2.9432e-13	1.1497e-02	1.0000e+00	1.0002e+00	
8.8000e+01	-3.5005e-10	-1.6631e-09	-9.1886e-05	2.1491e-04	5.0000e-01	8.7000e+01	2.9077e-13	1.1366e-02	1.0000e+00	1.0002e+00	
8.9000e+01	-3.4788e-10	-1.4035e-09	-9.2507e-05	2.1567e-04	5.0000e-01	8.8000e+01	2.8785e-13	1.1239e-02	1.0000e+00	1.0002e+00	
9.0000e+01	-3.5140e-10	-1.2487e-09	-9.3712e-05	2.1763e-04	5.0000e-01	8.9000e+01	2.8404e-13	1.1114e-02	1.0000e+00	1.0002e+00	
9.1000e+01	-3.4632e-10	-1.0065e-09	-9.4264e-05	2.1805e-04	5.0000e-01	9.0000e+01	2.8151e-13	1.0992e-02	1.0000e+00	1.0002e+00	
9.2000e+01	-3.5275e-10	-8.2859e-10	-9.5676e-05	2.2006e-04	5.0000e-01	9.1000e+01	2.7759e-13	1.0872e-02	1.0000e+00	1.0002e+00	
9.3000e+01	-3.4524e-10	-6.1583e-10	-9.6423e-05	2.2060e-04	5.0000e-01	9.2000e+01	2.7526e-13	1.0755e-02	1.0000e+00	1.0002e+00	
9.4000e+01	-3.5294e-10	-4.0987e-10	-9.8028e-05	2.2228e-04	5.0000e-01	9.3000e+01	2.7196e-13	1.0641e-02	1.0000e+00	1.0002e+00	
9.5000e+01	-3.4136e-10	-1.9671e-10	-9.9130e-05	2.2274e-04	5.0000e-01	9.4000e+01	2.7021e-13	1.0529e-02	1.0000e+00	1.0002e+00	
9.6000e+01	-3.5218e-10	-5.2431e-11	-1.0126e-04	2.2491e-04	5.0000e-01	9.5000e+01	2.6631e-13	1.0419e-02	1.0000e+00	1.0002e+00	
9.7000e+01	-3.5044e-10	1.7475e-10	-1.0293e-04	2.2543e-04	5.0000e-01	9.6000e+01	2.6413e-13	1.0312e-02	1.0000e+00	1.0002e+00	
9.8000e+01	-3.3843e-10	3.5703e-10	-1.0483e-04	2.2585e-04	5.0000e-01	9.7000e+01	2.6347e-13	1.0207e-02	1.0000e+00	1.0002e+00	
9.9000e+01	-3.3565e-10	4.8898e-10	-1.0752e-04	2.2710e-04	5.0000e-01	9.8000e+01	2.6113e-13	1.0103e-02	1.0000e+00	1.0002e+00	
1.0000e+02	-3.3063e-10	6.8578e-10	-1.0987e-04	2.2656e-04	5.0000e-01	9.9000e+01	2.5813e-13	1.0002e-02	1.0000e+00	1.0002e+00	
1.0100e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	5.0000e-01	1.0000e+02	0.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00	
